
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      6,392 K
Registry                        96 Services                   0     51,828 K
smss.exe                       368 Services                   0        364 K
csrss.exe                      532 Services                   0      1,836 K
wininit.exe                    628 Services                   0        996 K
csrss.exe                      636 Console                    1      3,192 K
services.exe                   700 Services                   0      6,644 K
lsass.exe                      720 Services                   0     13,480 K
svchost.exe                    828 Services                   0      1,376 K
svchost.exe                    860 Services                   0     20,208 K
fontdrvhost.exe                868 Services                   0        768 K
WUDFHost.exe                   920 Services                   0      1,764 K
svchost.exe                   1000 Services                   0     12,372 K
svchost.exe                    408 Services                   0      3,580 K
winlogon.exe                   484 Console                    1      4,568 K
fontdrvhost.exe                624 Console                    1      4,204 K
dwm.exe                       1084 Console                    1     36,344 K
svchost.exe                   1200 Services                   0      5,312 K
svchost.exe                   1208 Services                   0      5,020 K
svchost.exe                   1216 Services                   0     10,208 K
svchost.exe                   1224 Services                   0      5,436 K
svchost.exe                   1332 Services                   0      2,728 K
svchost.exe                   1396 Services                   0      1,912 K
svchost.exe                   1412 Services                   0      4,532 K
svchost.exe                   1436 Services                   0      5,224 K
svchost.exe                   1524 Services                   0     10,916 K
svchost.exe                   1568 Services                   0      5,236 K
svchost.exe                   1584 Services                   0      4,744 K
svchost.exe                   1620 Services                   0      2,640 K
igfxCUIService.exe            1708 Services                   0      4,048 K
svchost.exe                   1776 Services                   0      2,336 K
svchost.exe                   1856 Services                   0      4,800 K
svchost.exe                   1876 Services                   0      5,560 K
svchost.exe                   1888 Services                   0     11,392 K
svchost.exe                   1980 Services                   0      4,456 K
svchost.exe                   1996 Services                   0      5,676 K
svchost.exe                   2012 Services                   0      1,904 K
svchost.exe                   2020 Services                   0      3,844 K
Memory Compression            2096 Services                   0    141,004 K
svchost.exe                   2116 Services                   0      3,760 K
svchost.exe                   2128 Services                   0      4,740 K
svchost.exe                   2220 Services                   0     15,860 K
svchost.exe                   2252 Services                   0      6,448 K
svchost.exe                   2316 Services                   0      7,452 K
svchost.exe                   2388 Services                   0      5,620 K
svchost.exe                   2408 Services                   0      5,256 K
svchost.exe                   2420 Services                   0      2,724 K
svchost.exe                   2440 Services                   0      7,032 K
svchost.exe                   2728 Services                   0      3,768 K
svchost.exe                   2868 Services                   0      9,064 K
svchost.exe                   2984 Services                   0      3,884 K
wlanext.exe                   2992 Services                   0      6,700 K
conhost.exe                   3020 Services                   0      1,144 K
spoolsv.exe                   2368 Services                   0     10,364 K
svchost.exe                   3092 Services                   0      9,876 K
svchost.exe                   3140 Services                   0      3,072 K
TODDSrv.exe                   3500 Services                   0      1,364 K
armsvc.exe                    3508 Services                   0      1,608 K
RegSrvc.exe                   3516 Services                   0      3,688 K
mDNSResponder.exe             3528 Services                   0      2,996 K
SynTPEnhService.exe           3540 Services                   0      1,816 K
AdobeUpdateService.exe        3556 Services                   0      1,980 K
EvtEng.exe                    3564 Services                   0      5,808 K
ibtsiva.exe                   3572 Services                   0      2,012 K
HeciServer.exe                3588 Services                   0      1,632 K
MotoHelperService.exe         3596 Services                   0      3,012 K
NAT.exe                       3608 Services                   0     19,924 K
DACore.exe                    3616 Services                   0      2,496 K
nis.exe                       3624 Services                   0      3,884 K
TunnelBear.Maintenance.ex     3632 Services                   0      4,144 K
AGMService.exe                3640 Services                   0      2,808 K
AGSService.exe                3648 Services                   0      1,792 K
CxAudMsg64.exe                3656 Services                   0      4,320 K
SASrv.exe                     3664 Services                   0      1,364 K
TecoService.exe               3672 Services                   0      5,544 K
svchost.exe                   3684 Services                   0      3,796 K
svchost.exe                   3692 Services                   0     27,240 K
svchost.exe                   3700 Services                   0      2,816 K
svchost.exe                   3708 Services                   0     30,320 K
svchost.exe                   3716 Services                   0      6,944 K
svchost.exe                   3728 Services                   0      1,676 K
irstrtsv.exe                  3736 Services                   0      5,208 K
MsMpEng.exe                   3748 Services                   0    349,044 K
svchost.exe                   3772 Services                   0      1,424 K
officeclicktorun.exe          3788 Services                   0     14,268 K
ZeroConfigService.exe         3800 Services                   0      8,260 K
